map,num_agents,max_steps,density,size,start,final,done,detour_percentage,moving_cost
random,3,60,,48,"[[25, 22], [17, 13], [22, 39]]","[[28, 26], [32, 16], [46, 32]]",2,0.0,1.1200716845878138
random,3,120,,48,"[[25, 22], [17, 13], [22, 39]]","[[28, 26], [32, 16], [46, 32]]",2,0.0,1.1200716845878138
random,3,180,,48,"[[25, 22], [17, 13], [22, 39]]","[[28, 26], [32, 16], [46, 32]]",2,0.0,1.1200716845878138
random,6,60,,48,"[[25, 22], [17, 13], [22, 39], [32, 36], [38, 29], [3, 19]]","[[28, 26], [32, 16], [46, 32], [28, 19], [33, 30], [46, 21]]",5,0.0,1.1419969278033792
random,6,120,,48,"[[25, 22], [17, 13], [22, 39], [32, 36], [38, 29], [3, 19]]","[[28, 26], [32, 16], [46, 32], [28, 19], [33, 30], [46, 21]]",5,0.0,1.1419969278033792
random,6,180,,48,"[[25, 22], [17, 13], [22, 39], [32, 36], [38, 29], [3, 19]]","[[28, 26], [32, 16], [46, 32], [28, 19], [33, 30], [46, 21]]",5,0.0,1.1419969278033792
random,12,60,,48,"[[25, 22], [17, 13], [22, 39], [32, 36], [38, 29], [3, 19], [38, 39], [15, 2], [6, 42], [11, 41], [39, 47], [35, 35]]","[[28, 26], [32, 16], [46, 32], [28, 19], [33, 30], [46, 21], [39, 41], [29, 22], [45, 44], [1, 0], [8, 7], [6, 6]]",9,1.9157088122605366,1.137862533771267
random,12,120,,48,"[[25, 22], [17, 13], [22, 39], [32, 36], [38, 29], [3, 19], [38, 39], [15, 2], [6, 42], [11, 41], [39, 47], [35, 35]]","[[28, 26], [32, 16], [46, 32], [28, 19], [33, 30], [46, 21], [39, 41], [29, 22], [45, 44], [1, 0], [8, 7], [6, 6]]",9,1.9157088122605366,1.137862533771267
random,12,180,,48,"[[25, 22], [17, 13], [22, 39], [32, 36], [38, 29], [3, 19], [38, 39], [15, 2], [6, 42], [11, 41], [39, 47], [35, 35]]","[[28, 26], [32, 16], [46, 32], [28, 19], [33, 30], [46, 21], [39, 41], [29, 22], [45, 44], [1, 0], [8, 7], [6, 6]]",9,1.9157088122605366,1.137862533771267
even,3,60,,48,"[[32, 25], [46, 10], [12, 4]]","[[6, 41], [45, 11], [28, 32]]",2,0.0,1.0
even,3,120,,48,"[[32, 25], [46, 10], [12, 4]]","[[6, 41], [45, 11], [28, 32]]",2,0.0,1.0
even,3,180,,48,"[[32, 25], [46, 10], [12, 4]]","[[6, 41], [45, 11], [28, 32]]",2,0.0,1.0
even,6,60,,48,"[[32, 25], [46, 10], [12, 4], [0, 1], [32, 9], [39, 11]]","[[6, 41], [45, 11], [28, 32], [33, 24], [23, 38], [28, 26]]",5,0.0,1.0210526315789474
even,6,120,,48,"[[32, 25], [46, 10], [12, 4], [0, 1], [32, 9], [39, 11]]","[[6, 41], [45, 11], [28, 32], [33, 24], [23, 38], [28, 26]]",5,0.0,1.0210526315789474
even,6,180,,48,"[[32, 25], [46, 10], [12, 4], [0, 1], [32, 9], [39, 11]]","[[6, 41], [45, 11], [28, 32], [33, 24], [23, 38], [28, 26]]",5,0.0,1.0210526315789474
even,12,60,,48,"[[32, 25], [46, 10], [12, 4], [0, 1], [32, 9], [39, 11], [42, 4], [24, 11], [39, 10], [8, 0], [8, 24], [27, 1]]","[[6, 41], [45, 11], [28, 32], [33, 24], [23, 38], [28, 26], [18, 0], [34, 27], [39, 43], [16, 8], [34, 18], [26, 43]]",10,3.5812104562104556,1.0468396734844103
even,12,120,,48,"[[32, 25], [46, 10], [12, 4], [0, 1], [32, 9], [39, 11], [42, 4], [24, 11], [39, 10], [8, 0], [8, 24], [27, 1]]","[[6, 41], [45, 11], [28, 32], [33, 24], [23, 38], [28, 26], [18, 0], [34, 27], [39, 43], [16, 8], [34, 18], [26, 43]]",10,3.5812104562104556,1.0468396734844103
even,12,180,,48,"[[32, 25], [46, 10], [12, 4], [0, 1], [32, 9], [39, 11], [42, 4], [24, 11], [39, 10], [8, 0], [8, 24], [27, 1]]","[[6, 41], [45, 11], [28, 32], [33, 24], [23, 38], [28, 26], [18, 0], [34, 27], [39, 43], [16, 8], [34, 18], [26, 43]]",10,3.5812104562104556,1.0468396734844103
